entry,at,order
"River: 10♣, K♣, K♠, Q♥ [8♣]",2021-04-23T08:04:36.459Z,161916507646200
"""kz @ 0a6Ik_ZRiT"" calls 175",2021-04-23T08:04:35.649Z,161916507565000
"""Eric @ dei7kEnUlw"" bets 175",2021-04-23T08:04:30.286Z,161916507028700
"Turn: 10♣, K♣, K♠ [Q♥]",2021-04-23T08:04:24.546Z,161916506454700
"""kz @ 0a6Ik_ZRiT"" checks",2021-04-23T08:04:23.739Z,161916506374000
"""Eric @ dei7kEnUlw"" checks",2021-04-23T08:04:20.678Z,161916506067900
"Flop:  [10♣, K♣, K♠]",2021-04-23T08:04:18.376Z,161916505837800
"""Eric @ dei7kEnUlw"" calls 80",2021-04-23T08:04:17.526Z,161916505752700
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T08:04:15.589Z,161916505558900
"""GGGGunit @ BSJhpWucQ9"" folds",2021-04-23T08:04:08.730Z,161916504873100
"""kz @ 0a6Ik_ZRiT"" raises to 80",2021-04-23T08:04:06.487Z,161916504648700
"""Eric @ dei7kEnUlw"" raises to 40",2021-04-23T08:04:03.523Z,161916504352400
"""cw @ CE0qz3cL7r"" folds",2021-04-23T08:03:56.441Z,161916503644200
"""GQ @ Tj43FUuDGB"" posts a big blind of 10",2021-04-23T08:03:45.406Z,161916502540708
"""GGGGunit @ BSJhpWucQ9"" posts a small blind of 5",2021-04-23T08:03:45.406Z,161916502540707
"Your hand is 7♠, A♣",2021-04-23T08:03:45.406Z,161916502540702
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (4242) | #5 ""Eric @ dei7kEnUlw"" (1646) | #7 ""kz @ 0a6Ik_ZRiT"" (1523) | #8 ""GGGGunit @ BSJhpWucQ9"" (4908) | #10 ""GQ @ Tj43FUuDGB"" (2426)",2021-04-23T08:03:45.406Z,161916502540701
"-- starting hand #171  (No Limit Texas Hold'em) (dealer: ""kz @ 0a6Ik_ZRiT"") --",2021-04-23T08:03:45.406Z,161916502540700
"-- ending hand #170 --",2021-04-23T08:03:42.488Z,161916502248902
"""GGGGunit @ BSJhpWucQ9"" collected 245 from pot",2021-04-23T08:03:42.488Z,161916502248901
"Uncalled bet of 100 returned to ""GGGGunit @ BSJhpWucQ9""",2021-04-23T08:03:42.488Z,161916502248900
"""Eric @ dei7kEnUlw"" folds",2021-04-23T08:03:41.677Z,161916502167800
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T08:03:38.435Z,161916501843600
"""GGGGunit @ BSJhpWucQ9"" bets 100",2021-04-23T08:03:34.527Z,161916501452800
"Turn: 4♦, 4♥, 3♣ [2♥]",2021-04-23T08:03:17.348Z,161916499735000
"""Eric @ dei7kEnUlw"" checks",2021-04-23T08:03:16.541Z,161916499654200
"""GQ @ Tj43FUuDGB"" checks",2021-04-23T08:03:15.179Z,161916499518000
"""GGGGunit @ BSJhpWucQ9"" checks",2021-04-23T08:03:07.765Z,161916498776600
"Flop:  [4♦, 4♥, 3♣]",2021-04-23T08:03:01.863Z,161916498186500
"""Eric @ dei7kEnUlw"" calls 80",2021-04-23T08:03:01.054Z,161916498105500
"""GQ @ Tj43FUuDGB"" calls 80",2021-04-23T08:03:00.159Z,161916498015900
"""GGGGunit @ BSJhpWucQ9"" raises to 80",2021-04-23T08:02:55.996Z,161916497601800
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T08:02:50.509Z,161916497051000
"""Eric @ dei7kEnUlw"" raises to 40",2021-04-23T08:02:49.237Z,161916496923800
"""cw @ CE0qz3cL7r"" folds",2021-04-23T08:02:42.273Z,161916496227400
"""GQ @ Tj43FUuDGB"" calls 10",2021-04-23T08:02:38.883Z,161916495888500
"""GGGGunit @ BSJhpWucQ9"" posts a big blind of 10",2021-04-23T08:02:36.436Z,161916495643708
"""kz @ 0a6Ik_ZRiT"" posts a small blind of 5",2021-04-23T08:02:36.436Z,161916495643707
"Your hand is 3♦, 9♦",2021-04-23T08:02:36.436Z,161916495643702
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (4242) | #5 ""Eric @ dei7kEnUlw"" (1726) | #7 ""kz @ 0a6Ik_ZRiT"" (1528) | #8 ""GGGGunit @ BSJhpWucQ9"" (4743) | #10 ""GQ @ Tj43FUuDGB"" (2506)",2021-04-23T08:02:36.436Z,161916495643701
"-- starting hand #170  (No Limit Texas Hold'em) (dealer: ""Eric @ dei7kEnUlw"") --",2021-04-23T08:02:36.436Z,161916495643700
"-- ending hand #169 --",2021-04-23T08:02:33.525Z,161916495352702
"""GGGGunit @ BSJhpWucQ9"" collected 25 from pot",2021-04-23T08:02:33.525Z,161916495352701
"Uncalled bet of 70 returned to ""GGGGunit @ BSJhpWucQ9""",2021-04-23T08:02:33.525Z,161916495352700
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T08:02:32.717Z,161916495271800
"""Eric @ dei7kEnUlw"" folds",2021-04-23T08:02:31.821Z,161916495182100
"""cw @ CE0qz3cL7r"" folds",2021-04-23T08:02:30.619Z,161916495061900
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T08:02:29.634Z,161916494963500
"""GGGGunit @ BSJhpWucQ9"" raises to 80",2021-04-23T08:02:27.760Z,161916494776100
"""kz @ 0a6Ik_ZRiT"" posts a big blind of 10",2021-04-23T08:02:16.651Z,161916493665609
"""Eric @ dei7kEnUlw"" posts a small blind of 5",2021-04-23T08:02:16.651Z,161916493665608
"Your hand is 4♠, 5♦",2021-04-23T08:02:16.651Z,161916493665603
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (4242) | #5 ""Eric @ dei7kEnUlw"" (1731) | #7 ""kz @ 0a6Ik_ZRiT"" (1538) | #8 ""GGGGunit @ BSJhpWucQ9"" (4728) | #10 ""GQ @ Tj43FUuDGB"" (2506)",2021-04-23T08:02:16.651Z,161916493665602
"-- starting hand #169  (No Limit Texas Hold'em) (dead button) --",2021-04-23T08:02:16.651Z,161916493665601
"The player ""nik @ fYiRGQheT5"" quits the game with a stack of 0.",2021-04-23T08:02:16.651Z,161916493665600
"-- ending hand #168 --",2021-04-23T08:02:07.613Z,161916492761501
"""GQ @ Tj43FUuDGB"" collected 2148 from pot with Two Pair, 10's & 9's (combination: 10♥, 10♠, 9♥, 9♣, 6♥)",2021-04-23T08:02:07.613Z,161916492761500
"River: 2♦, 9♥, 6♥, 9♣ [2♣]",2021-04-23T08:02:03.586Z,161916492359000
"""GQ @ Tj43FUuDGB"" shows a 10♥, 10♠.",2021-04-23T08:01:59.541Z,161916491954301
"""nik @ fYiRGQheT5"" shows a Q♠, A♦.",2021-04-23T08:01:59.541Z,161916491954300
"""GQ @ Tj43FUuDGB"" calls 814",2021-04-23T08:01:58.730Z,161916491873100
"""nik @ fYiRGQheT5"" raises to 814 and go all in",2021-04-23T08:01:25.183Z,161916488518300
"""GQ @ Tj43FUuDGB"" bets 400",2021-04-23T08:01:17.025Z,161916487702600
"""nik @ fYiRGQheT5"" checks",2021-04-23T08:01:02.019Z,161916486201900
"Turn: 2♦, 9♥, 6♥ [9♣]",2021-04-23T08:01:00.727Z,161916486073000
"""nik @ fYiRGQheT5"" calls 130",2021-04-23T08:00:59.908Z,161916485990900
"""GQ @ Tj43FUuDGB"" bets 130",2021-04-23T08:00:57.721Z,161916485772200
"""nik @ fYiRGQheT5"" checks",2021-04-23T08:00:55.232Z,161916485523300
"Flop:  [2♦, 9♥, 6♥]",2021-04-23T08:00:52.975Z,161916485297600
"""GQ @ Tj43FUuDGB"" calls 125",2021-04-23T08:00:52.136Z,161916485213700
"""Eric @ dei7kEnUlw"" folds",2021-04-23T08:00:50.573Z,161916485057400
"""nik @ fYiRGQheT5"" raises to 125",2021-04-23T08:00:49.675Z,161916484967500
"""cw @ CE0qz3cL7r"" folds",2021-04-23T08:00:44.812Z,161916484481300
"""GQ @ Tj43FUuDGB"" raises to 50",2021-04-23T08:00:42.432Z,161916484243300
"""GGGGunit @ BSJhpWucQ9"" folds",2021-04-23T08:00:31.648Z,161916483164900
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T08:00:30.744Z,161916483074500
"""Eric @ dei7kEnUlw"" posts a big blind of 10",2021-04-23T08:00:27.068Z,161916482707009
"""nik @ fYiRGQheT5"" posts a small blind of 5",2021-04-23T08:00:27.068Z,161916482707008
"Your hand is 3♠, 6♣",2021-04-23T08:00:27.068Z,161916482707002
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (4242) | #4 ""nik @ fYiRGQheT5"" (1069) | #5 ""Eric @ dei7kEnUlw"" (1741) | #7 ""kz @ 0a6Ik_ZRiT"" (1538) | #8 ""GGGGunit @ BSJhpWucQ9"" (4728) | #10 ""GQ @ Tj43FUuDGB"" (1427)",2021-04-23T08:00:27.068Z,161916482707001
"-- starting hand #168  (No Limit Texas Hold'em) (dealer: ""cw @ CE0qz3cL7r"") --",2021-04-23T08:00:27.068Z,161916482707000
"""cw @ CE0qz3cL7r"" shows a 6♦, 7♦.",2021-04-23T08:00:23.945Z,161916482394600
"""kz @ 0a6Ik_ZRiT"" shows a A♦, A♣.",2021-04-23T08:00:23.609Z,161916482361000
"-- ending hand #167 --",2021-04-23T08:00:22.746Z,161916482274702
"""cw @ CE0qz3cL7r"" collected 450 from pot",2021-04-23T08:00:22.746Z,161916482274701
"Uncalled bet of 1537 returned to ""cw @ CE0qz3cL7r""",2021-04-23T08:00:22.746Z,161916482274700
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T08:00:21.936Z,161916482193700
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T08:00:16.783Z,161916481678400
"""cw @ CE0qz3cL7r"" bets 1537",2021-04-23T07:59:47.640Z,161916478764100
"River: 10♦, Q♦, 5♥, A♥ [K♦]",2021-04-23T07:59:28.155Z,161916476815800
